tournament,date,average_driving_distance
GTE Byron Nelson Golf Classic,1992-05-17,255.21081081081084
Southwestern Bell Colonial,1992-05-24,261.2571428571428
Kemper Open,1992-05-31,257.3563380281689
Memorial Tournament,1992-06-07,251.3710526315788
Federal Express St. Jude Classic,1992-06-14,260.3435897435896
U.S. Open Championship,1992-06-21,264.24848484848474
Buick Classic,1992-06-28,255.173611111111
Centel Western Open,1992-07-05,257.36883116883104
Anheuser-Busch Golf Classic,1992-07-12,274.8095890410959
Chattanooga Classic,1992-07-19,275.2144736842103
New England Classic,1992-07-26,260.0493506493506
Canon Greater Hartford Open,1992-08-02,255.0594936708861
Buick Open,1992-08-09,258.6925
PGA Championship,1992-08-16,273.5729411764706
NEC World Series of Golf,1992-08-30,275.7822222222221
Greater Milwaukee Open,1992-09-06,265.33611111111105
Canadian Open,1992-09-13,256.02916666666664
Hardee's Golf Classic,1992-09-20,259.98904109589034
B.C. Open,1992-09-27,254.68243243243228
Buick Southern Open,1992-10-04,256.33918918918914
Las Vegas Invitational,1992-10-11,270.08309859154934
Walt Disney World/Oldsmobile Classic,1992-10-18,257.98767123287655
H.E.B. Texas Open,1992-10-25,284.7257142857141
THE TOUR Championship,1992-11-01,260.7466666666667
Infiniti Tournament of Champions,1993-01-10,241.16999999999996
United Airlines Hawaiian Open,1993-01-17,272.84805194805176
Northern Telecom Open,1993-01-24,264.72650602409635
Phoenix Open,1993-01-31,283.257894736842
AT&T Pebble Beach National Pro-Am,1993-02-07,244.34057971014494
Bob Hope Chrysler Classic,1993-02-14,264.2171052631579
Buick Invitational of California,1993-02-21,252.36333333333326
Nissan Los Angeles Open,1993-02-28,249.0063291139241
Doral-Ryder Open,1993-03-07,265.5552631578947
Honda Classic,1993-03-14,251.65324675324675
Nestle Invitational,1993-03-21,254.71466666666655
THE PLAYERS Championship,1993-03-28,251.47571428571428
Freeport-McMoRan Golf Classic,1993-04-04,259.301282051282
Deposit Guaranty Golf Classic,1993-04-11,240.98243243243235
Masters Tournament,1993-04-11,258.51311475409824
MCI Heritage Golf Classic,1993-04-18,254.89999999999992
KMart Greater Greensboro Open,1993-04-25,267.74642857142857
Shell Houston Open,1993-05-02,253.94615384615378
BellSouth Classic,1993-05-09,269.59493670886064
GTE Byron Nelson Golf Classic,1993-05-16,272.43376623376616
Kemper Open,1993-05-23,258.15540540540536
Southwestern Bell Colonial,1993-05-30,263.2934210526315
Memorial Tournament,1993-06-06,250.93835616438355
Buick Classic,1993-06-13,253.15211267605622
U.S. Open Championship,1993-06-20,273.81704545454545
Canon Greater Hartford Open,1993-06-27,253.2625
Sprint Western Open,1993-07-04,249.16219512195124
Anheuser-Busch Golf Classic,1993-07-11,263.110975609756
New England Classic,1993-07-25,262.6985714285713
Federal Express St. Jude Classic,1993-08-01,269.8480519480518
Buick Open,1993-08-08,264.4037974683544
PGA Championship,1993-08-15,271.0135135135134
NEC World Series of Golf,1993-08-29,287.4567567567568
Greater Milwaukee Open,1993-09-05,260.3304878048779
Canadian Open,1993-09-12,249.12799999999987
Hardee's Golf Classic,1993-09-19,257.74189189189195
B.C. Open,1993-09-26,258.8444444444443
Buick Southern Open,1993-10-03,264.6576470588233
Walt Disney World/Oldsmobile Classic,1993-10-10,258.2890410958903
H.E.B. Texas Open,1993-10-17,281.90769230769223
Las Vegas Invitational,1993-10-24,270.0813333333334
THE TOUR Championship,1993-10-31,257.71000000000004
Mercedes Championships,1994-01-09,258.75
United Airlines Hawaiian Open,1994-01-16,268.54675324675327
Northern Telecom Open,1994-01-23,272.1816901408449
Phoenix Open,1994-01-30,269.6054794520547
AT&T Pebble Beach National Pro-Am,1994-02-06,239.2874999999999
Nissan Los Angeles Open,1994-02-13,254.4373333333332
Bob Hope Chrysler Classic,1994-02-20,261.0192307692308
Buick Invitational of California,1994-02-27,258.5762499999999
Doral-Ryder Open,1994-03-06,249.61315789473673
Honda Classic,1994-03-13,261.64938271604933
Nestle Invitational,1994-03-20,263.0337662337662
THE PLAYERS Championship,1994-03-27,253.38235294117635
Freeport-McMoRan Classic,1994-04-03,255.0472222222222
Masters Tournament,1994-04-10,274.09803921568624
MCI Heritage Golf Classic,1994-04-17,254.9093333333333
KMart Greater Greensboro Open,1994-04-24,265.90131578947364
Shell Houston Open,1994-05-01,260.7512499999999
BellSouth Classic,1994-05-08,250.53947368421044
GTE Byron Nelson Golf Classic,1994-05-15,274.23132530120455
Memorial Tournament,1994-05-22,274.87297297297283
Southwestern Bell Colonial,1994-05-29,262.27123287671213
Kemper Open,1994-06-05,262.14868421052614
Buick Classic,1994-06-12,253.96999999999986
U.S. Open Championship,1994-06-19,260.53437499999995
Canon Greater Hartford Open,1994-06-26,252.46142857142846
Motorola Western Open,1994-07-03,271.11529411764695
Anheuser-Busch Golf Classic,1994-07-10,258.8152777777776
Deposit Guaranty Golf Classic,1994-07-17,251.39315068493133
New England Classic,1994-07-24,262.0743243243243
Federal Express St. Jude Classic,1994-07-31,270.1371428571427
Buick Open,1994-08-07,252.2784615384614
PGA Championship,1994-08-14,286.73947368421034
NEC World Series of Golf,1994-08-28,287.0895833333332
Greater Milwaukee Open,1994-09-04,263.92739726027384
Bell Canadian Open,1994-09-11,272.37051282051266
B.C. Open,1994-09-18,267.1279999999999
Hardee's Golf Classic,1994-09-25,254.52394366197174
Buick Southern Open,1994-10-02,267.97045454545446
Walt Disney World/Oldsmobile Classic,1994-10-09,256.1935064935064
Texas Open,1994-10-16,277.8972972972971
Las Vegas Invitational,1994-10-23,268.9093333333334
THE TOUR Championship,1994-10-30,266.55333333333334
Mercedes Championships,1995-01-08,242.84999999999997
United Airlines Hawaiian Open,1995-01-15,267.48717948717945
Northern Telecom Open,1995-01-22,269.0871794871795
Phoenix Open,1995-01-29,264.7814285714284
AT&T Pebble Beach National Pro-Am,1995-02-05,240.47343749999993
Buick Invitational of California,1995-02-12,262.9376470588233
Bob Hope Chrysler Classic,1995-02-19,266.1364864864865
Nissan Open,1995-02-26,269.45949367088593
Doral-Ryder Open,1995-03-05,264.69350649350645
Honda Classic,1995-03-12,252.40120481927693
Nestle Invitational,1995-03-19,261.5626666666665
THE PLAYERS Championship,1995-03-26,263.3095890410958
Freeport-McMoRan Classic,1995-04-02,257.52987012987
Masters Tournament,1995-04-09,275.47872340425533
MCI Classic,1995-04-16,257.34615384615375
KMart Greater Greensboro Open,1995-04-23,265.454794520548
Shell Houston Open,1995-04-30,255.47882352941164
BellSouth Classic,1995-05-07,259.00666666666655
GTE Byron Nelson Golf Classic,1995-05-14,272.0642857142856
Buick Classic,1995-05-21,253.9272727272727
Colonial National Invitation,1995-05-28,268.39142857142843
Memorial Tournament,1995-06-04,248.4921052631578
Kemper Open,1995-06-11,267.50422535211254
U.S. Open Championship,1995-06-18,269.60821917808204
Canon Greater Hartford Open,1995-06-25,260.56025641025644
FedEx St. Jude Classic,1995-07-02,270.3014084507042
Motorola Western Open,1995-07-09,269.27323943661963
Anheuser-Busch Golf Classic,1995-07-16,261.07916666666665
Deposit Guaranty Golf Classic,1995-07-23,261.9066666666665
Ideon Classic at Pleasant Valley,1995-07-30,260.9628205128204
Buick Open,1995-08-06,257.8944444444444
PGA Championship,1995-08-13,271.4416666666666
NEC World Series of Golf,1995-08-27,285.86136363636365
Greater Milwaukee Open,1995-09-03,272.17605633802805
Bell Canadian Open,1995-09-10,266.82716049382697
B.C. Open,1995-09-17,259.404109589041
Quad City Classic,1995-09-24,278.46818181818185
Buick Challenge,1995-10-01,268.76249999999993
Walt Disney World/Oldsmobile Classic,1995-10-08,257.68857142857144
Las Vegas Invitational,1995-10-15,276.55500000000006
LaCantera Texas Open,1995-10-22,281.39250000000004
THE TOUR Championship,1995-10-29,276.30000000000007
Mercedes Championships,1996-01-07,257.4533333333334
Nortel Open,1996-01-14,283.6833333333332
Bob Hope Chrysler Classic,1996-01-21,266.4945945945946
Phoenix Open,1996-01-27,276.47428571428554
Buick Invitational,1996-02-11,259.1116883116882
United Airlines Hawaiian Open,1996-02-18,269.1259740259739
Nissan Open,1996-02-25,251.74266666666657
Doral-Ryder Open,1996-03-03,265.9935064935065
Honda Classic,1996-03-10,259.2461538461536
Bay Hill Invitational,1996-03-17,266.18285714285713
Freeport-McDermott Classic,1996-03-24,263.83333333333314
THE PLAYERS Championship,1996-03-31,261.6636363636363
BellSouth Classic,1996-04-07,260.8444444444443
Masters Tournament,1996-04-14,279.10909090909087
MCI Classic,1996-04-21,253.6384615384614
Greater Greensboro Chrysler Classic,1996-04-28,267.33846153846144
Shell Houston Open,1996-05-05,265.8574999999999
GTE Byron Nelson Golf Classic,1996-05-12,267.9518987341771
MasterCard Colonial,1996-05-19,280.0934210526314
Kemper Open,1996-05-26,247.33999999999992
Memorial Tournament,1996-06-02,256.22435897435895
Buick Classic,1996-06-09,253.77951807228902
U.S. Open Championship,1996-06-16,263.94444444444434
FedEx St. Jude Classic,1996-06-23,276.5763888888887
Canon Greater Hartford Open,1996-06-30,264.63205128205107
Motorola Western Open,1996-07-07,283.88124999999985
Michelob Championship at Kingsmill,1996-07-14,255.53974358974358
Deposit Guaranty Golf Classic,1996-07-21,276.7011904761904
CVS Charity Classic,1996-07-28,261.1349999999999
Buick Open,1996-08-04,266.43409090909086
PGA Championship,1996-08-11,277.0148148148147
NEC World Series of Golf,1996-08-25,277.8642857142856
Greater Vancouver Open,1996-08-25,272.9608108108106
Greater Milwaukee Open,1996-09-01,278.22236842105247
Bell Canadian Open,1996-09-08,262.2077922077922
Quad City Classic,1996-09-15,265.662162162162
B.C. Open,1996-09-22,265.4557142857142
Buick Challenge,1996-09-29,265.5082352941174
Las Vegas Invitational,1996-10-06,285.46582278481014
LaCantera Texas Open,1996-10-13,275.4092105263155
Walt Disney World/Oldsmobile Classic,1996-10-20,255.16447368421044
THE TOUR Championship,1996-10-27,269.17142857142863
Mercedes Championships,1997-01-12,254.57419354838714
Bob Hope Chrysler Classic,1997-01-19,267.4086419753086
Phoenix Open,1997-01-26,268.54383561643834
AT&T Pebble Beach National Pro-Am,1997-02-02,252.53124999999991
Buick Invitational,1997-02-09,267.49743589743576
United Airlines Hawaiian Open,1997-02-16,277.8130434782607
Tucson Chrysler Classic,1997-02-23,282.37866666666656
Nissan Open,1997-03-02,265.32499999999993
Doral-Ryder Open,1997-03-09,267.51917808219173
Honda Classic,1997-03-16,262.1859374999999
Bay Hill Invitational,1997-03-23,262.78904109589035
THE PLAYERS Championship,1997-03-30,251.58266666666663
Freeport-McDermott Classic,1997-04-06,257.6422535211267
Masters Tournament,1997-04-13,277.2391304347826
MCI Classic,1997-04-20,261.6054794520547
Greater Greensboro Chrysler Classic,1997-04-27,251.7239436619718
Shell Houston Open,1997-05-04,260.91126760563367
BellSouth Classic,1997-05-11,294.84749999999985
GTE Byron Nelson Golf Classic,1997-05-18,272.94999999999993
MasterCard Colonial,1997-05-25,280.42054794520544
Memorial Tournament,1997-06-01,249.5175675675675
Kemper Open,1997-06-08,274.57428571428574
U.S. Open Championship,1997-06-15,268.3333333333333
Buick Classic,1997-06-22,261.47682926829253
FedEx St. Jude Classic,1997-06-29,261.66666666666663
Motorola Western Open,1997-07-06,280.2012658227848
Quad City Classic,1997-07-13,272.93636363636364
Deposit Guaranty Golf Classic,1997-07-20,279.7337662337662
Canon Greater Hartford Open,1997-07-27,260.07530864197514
Buick Open,1997-08-10,283.2013513513514
PGA Championship,1997-08-17,269.90389610389605
NEC World Series of Golf,1997-08-24,263.9869565217391
Greater Vancouver Open,1997-08-24,256.4784810126581
Greater Milwaukee Open,1997-08-31,274.16056338028164
Bell Canadian Open,1997-09-07,261.36621621621606
CVS Charity Classic,1997-09-14,267.5621621621621
LaCantera Texas Open,1997-09-21,281.632098765432
B.C. Open,1997-09-28,266.97671232876706
Buick Challenge,1997-10-05,269.9169014084506
Michelob Championship at Kingsmill,1997-10-12,269.8714285714285
Walt Disney World/Oldsmobile Classic,1997-10-19,266.7492957746479
Las Vegas Invitational,1997-10-26,275.6318840579711
THE TOUR Championship,1997-11-02,275.1933333333334
Mercedes Championships,1998-01-11,263.78000000000003
Bob Hope Chrysler Classic,1998-01-18,272.10428571428577
Phoenix Open,1998-01-25,276.9027777777776
AT&T Pebble Beach National Pro-Am,1998-02-01,242.70142857142844
Buick Invitational,1998-02-08,258.2098765432099
United Airlines Hawaiian Open,1998-02-15,278.6544303797467
Tucson Chrysler Classic,1998-02-22,276.568831168831
Nissan Open,1998-03-01,274.02692307692297
Doral-Ryder Open,1998-03-08,263.6986666666668
Honda Classic,1998-03-15,272.83380281690125
Bay Hill Invitational,1998-03-22,265.0018181818181
THE PLAYERS Championship,1998-03-29,275.273611111111
Freeport-McDermott Classic,1998-04-05,259.8949999999999
Masters Tournament,1998-04-12,270.1673913043478
MCI Classic,1998-04-19,250.3321428571428
Greater Greensboro Chrysler Classic,1998-04-26,257.3350649350649
Shell Houston Open,1998-05-03,282.05342465753415
BellSouth Classic,1998-05-10,278.8561643835615
GTE Byron Nelson Golf Classic,1998-05-17,286.10379746835446
MasterCard Colonial,1998-05-24,294.57432432432427
Memorial Tournament,1998-05-31,263.6126760563379
Kemper Open,1998-06-07,272.2960526315788
Buick Classic,1998-06-14,255.49999999999994
U.S. Open Championship,1998-06-21,269.1216666666666
Motorola Western Open,1998-06-28,276.0282051282051
Canon Greater Hartford Open,1998-07-05,268.67763157894734
Quad City Classic,1998-07-12,279.5987951807228
Deposit Guaranty Golf Classic,1998-07-19,272.8972222222222
CVS Charity Classic,1998-07-26,268.87215189873405
FedEx St. Jude Classic,1998-08-02,270.26153846153835
Buick Open,1998-08-09,265.7079999999999
PGA Championship,1998-08-16,266.84799999999984
Greater Vancouver Open,1998-08-30,272.09620253164536
NEC World Series of Golf,1998-08-30,282.5558139534883
Greater Milwaukee Open,1998-09-06,284.3328571428571
Bell Canadian Open,1998-09-13,287.17999999999995
B.C. Open,1998-09-20,279.8380281690141
Westin Texas Open,1998-09-27,283.24124999999987
Buick Challenge,1998-10-04,263.87464788732376
Michelob Championship at Kingsmill,1998-10-11,263.5759999999999
Las Vegas Invitational,1998-10-18,282.60675675675685
National Car Rental Golf Classic/Disney,1998-10-25,259.49999999999994
THE TOUR Championship,1998-11-01,280.7566666666667
Mercedes Championships,1999-01-10,260.71666666666664
Sony Open in Hawaii,1999-01-17,279.63943661971825
Bob Hope Chrysler Classic,1999-01-24,273.3929577464789
Phoenix Open,1999-01-31,280.287323943662
AT&T Pebble Beach National Pro-Am,1999-02-07,245.6742857142858
Buick Invitational,1999-02-14,267.7301369863013
Nissan Open,1999-02-21,270.5792207792207
Touchstone Energy Tucson Open,1999-02-28,282.45925925925917
Doral-Ryder Open,1999-03-07,269.2243902439022
Honda Classic,1999-03-14,282.7951219512195
Bay Hill Invitational,1999-03-21,268.56753246753243
THE PLAYERS Championship,1999-03-28,270.076923076923
BellSouth Classic,1999-04-04,279.136111111111
Masters Tournament,1999-04-11,266.4482142857142
MCI Classic,1999-04-18,262.586111111111
Greater Greensboro Chrysler Classic,1999-04-25,281.69999999999993
Shell Houston Open,1999-05-02,269.58513513513503
COMPAQ Classic of New Orleans,1999-05-09,275.2926829268292
GTE Byron Nelson Classic,1999-05-16,272.2383561643834
MasterCard Colonial,1999-05-23,290.06455696202505
Kemper Open,1999-05-30,273.1813333333333
Memorial Tournament,1999-06-06,273.7386666666665
FedEx St. Jude Classic,1999-06-13,282.2473684210525
U.S. Open Championship,1999-06-20,261.2529411764706
Buick Classic,1999-06-27,267.1524390243901
Motorola Western Open,1999-07-04,274.87236842105256
Greater Milwaukee Open,1999-07-11,276.7126436781608
John Deere Classic,1999-07-25,278.0951219512194
Canon Greater Hartford Open,1999-08-01,273.16301369863
Buick Open,1999-08-08,285.4974358974358
PGA Championship,1999-08-15,274.5904109589041
Reno-Tahoe Open,1999-08-29,292.9551282051281
World Golf Championships-NEC Invitational,1999-08-29,268.2487804878049
Air Canada Championship,1999-09-05,254.71999999999989
Bell Canadian Open,1999-09-12,270.6415584415584
B.C. Open,1999-09-19,272.9151515151514
Westin Texas Open,1999-09-26,284.8575342465752
Buick Challenge,1999-10-03,265.81999999999994
Michelob Championship at Kingsmill,1999-10-10,268.51874999999984
Las Vegas Invitational,1999-10-17,280.3788732394367
National Car Rental Golf Classic/Disney,1999-10-24,258.4290697674417
THE TOUR Championship,1999-10-31,275.96551724137936
Southern Farm Bureau Classic,1999-10-31,267.23970588235284
World Golf Championships-American Express Championship,1999-11-07,264.71147540983605
Mercedes Championships,2000-01-09,245.83666666666664
Sony Open in Hawaii,2000-01-16,271.2581081081081
Bob Hope Chrysler Classic,2000-01-23,275.8623188405797
Phoenix Open,2000-01-30,283.70126582278465
AT&T Pebble Beach National Pro-Am,2000-02-06,250.32666666666654
Buick Invitational,2000-02-13,267.7971830985914
Nissan Open,2000-02-20,264.3746478873239
Touchstone Energy Tucson Open,2000-02-27,277.4833333333332
Doral-Ryder Open,2000-03-05,273.9726027397259
Honda Classic,2000-03-12,275.29605263157885
Bay Hill Invitational,2000-03-19,272.70641025641015
THE PLAYERS Championship,2000-03-26,270.19249999999994
BellSouth Classic,2000-04-02,275.51666666666665
Masters Tournament,2000-04-09,263.41052631578947
MCI Classic,2000-04-16,255.44794520547936
Greater Greensboro Chrysler Classic,2000-04-23,273.85569620253153
Shell Houston Open,2000-04-30,269.8493506493506
COMPAQ Classic of New Orleans,2000-05-07,264.7333333333332
GTE Byron Nelson Classic,2000-05-14,283.34047619047607
MasterCard Colonial,2000-05-21,279.53857142857134
Memorial Tournament,2000-05-28,265.0886075949368
Kemper Insurance Open,2000-06-04,277.90999999999997
Buick Classic,2000-06-11,268.5281690140845
U.S. Open Championship,2000-06-18,272.26666666666665
FedEx St. Jude Classic,2000-06-25,279.0776470588234
Canon Greater Hartford Open,2000-07-02,272.3378048780486
Advil Western Open,2000-07-09,279.8412499999999
Greater Milwaukee Open,2000-07-16,280.7925925925926
B.C. Open,2000-07-23,279.94861111111106
John Deere Classic,2000-07-30,276.60684931506836
Buick Open,2000-08-13,286.89142857142843
PGA Championship,2000-08-20,271.6399999999999
World Golf Championships-NEC Invitational,2000-08-27,287.7324324324324
Reno-Tahoe Open,2000-08-27,291.46233766233763
Air Canada Championship,2000-09-03,265.79885057471256
Bell Canadian Open,2000-09-10,274.85479452054784
SEI Pennsylvania Classic,2000-09-17,265.9249999999999
Westin Texas Open at LaCantera,2000-09-24,286.67012987012964
Buick Challenge,2000-10-01,275.5639999999998
Michelob Championship at Kingsmill,2000-10-08,273.9103896103894
Invensys Classic at Las Vegas,2000-10-15,292.7486486486487
Tampa Bay Classic,2000-10-22,271.81756756756744
National Car Rental Golf Classic Disney,2000-10-29,270.64487179487173
THE TOUR Championship,2000-11-05,280.17241379310343
Southern Farm Bureau Classic,2000-11-05,271.91486486486474
World Golf Championships-American Express Championship,2000-11-12,279.06923076923067
Mercedes Championships,2001-01-14,256.02424242424246
Touchstone Energy Tucson Open,2001-01-14,278.1439024390242
Sony Open in Hawaii,2001-01-21,284.272857142857
Phoenix Open,2001-01-28,280.40985915492945
AT&T Pebble Beach National Pro-Am,2001-02-04,260.41388888888883
Buick Invitational,2001-02-11,275.8670588235293
Bob Hope Chrysler Classic,2001-02-18,279.92266666666666
Nissan Open,2001-02-25,264.1075949367089
Genuity Championship,2001-03-04,283.67468354430366
Honda Classic,2001-03-11,283.112658227848
Bay Hill Invitational,2001-03-18,272.0432432432432
THE PLAYERS Championship,2001-03-25,268.59733333333315
BellSouth Classic,2001-04-01,282.9865384615383
Masters Tournament,2001-04-08,276.6574468085106
WORLDCOM CLASSIC-The Heritage of Golf,2001-04-15,269.98933333333326
Shell Houston Open,2001-04-22,274.3410958904108
Greater Greensboro Chrysler Classic,2001-04-29,280.5240506329113
Compaq Classic of New Orleans,2001-05-06,279.44027777777774
Verizon Byron Nelson Classic,2001-05-13,280.7337349397591
MasterCard Colonial,2001-05-20,295.5140845070423
Kemper Insurance Open,2001-05-27,269.9190476190476
Memorial Tournament,2001-06-03,256.5585714285714
FedEx St. Jude Classic,2001-06-10,277.11571428571426
U.S. Open Championship,2001-06-17,289.03924050632895
Buick Classic,2001-06-24,272.62911392405067
Canon Greater Hartford Open,2001-07-01,288.1164705882352
Advil Western Open,2001-07-08,290.81830985915485
Greater Milwaukee Open,2001-07-15,290.9545454545453
B.C. Open,2001-07-22,294.1670588235293
John Deere Classic,2001-07-29,287.32380952380936
Buick Open,2001-08-12,297.5957746478873
PGA Championship,2001-08-19,291.7293333333333
World Golf Championships-NEC Invitational,2001-08-26,281.18918918918916
Reno-Tahoe Open,2001-08-26,293.1057142857142
Air Canada Championship,2001-09-02,266.8575342465752
Bell Canadian Open,2001-09-09,291.4460526315788
Marconi Pennsylvania Classic,2001-09-23,272.4633802816902
Texas Open at LaCantera,2001-09-30,295.27142857142866
Michelob Championship at Kingsmill,2001-10-07,263.38472222222214
Invensys Classic at Las Vegas,2001-10-14,294.1216216216215
National Car Rental Golf Classic Disney,2001-10-21,285.5154929577464
Buick Challenge,2001-10-28,272.336111111111
THE TOUR Championship,2001-11-04,292.23793103448276
Southern Farm Bureau Classic,2001-11-04,273.4276315789474
Mercedes Championships,2002-01-06,284.590625
Sony Open in Hawaii,2002-01-13,277.7383561643834
Bob Hope Chrysler Classic,2002-01-20,271.39428571428556
Phoenix Open,2002-01-27,296.88714285714275
AT&T Pebble Beach National Pro-Am,2002-02-03,257.95416666666665
Buick Invitational,2002-02-10,283.09325842696603
Nissan Open,2002-02-17,279.82499999999993
Touchstone Energy Tucson Open,2002-02-24,291.81643835616444
Genuity Championship,2002-03-03,270.80602409638544
The Honda Classic,2002-03-10,278.26338028169005
Bay Hill Invitational presented by Cooper Tires,2002-03-17,280.6270270270268
THE PLAYERS Championship,2002-03-24,274.484
Shell Houston Open,2002-03-31,271.9257142857142
BellSouth Classic,2002-04-07,283.6442857142857
Masters Tournament,2002-04-14,277.8933333333334
WORLDCOM CLASSIC-The Heritage of Golf,2002-04-21,273.8520000000001
Greater Greensboro Chrysler Classic,2002-04-28,291.53521126760546
Compaq Classic of New Orleans,2002-05-05,270.71951219512175
Verizon Byron Nelson Classic,2002-05-12,274.5743589743588
MasterCard Colonial,2002-05-19,287.46249999999986
Memorial Tournament,2002-05-26,275.74
Kemper Insurance Open,2002-06-02,288.16710526315774
Buick Classic,2002-06-09,271.2096385542167
U.S. Open Championship,2002-06-16,268.3760563380282
Canon Greater Hartford Open,2002-06-23,280.6723684210524
FedEx St. Jude Classic,2002-06-30,287.99733333333313
Advil Western Open,2002-07-07,278.63720930232546
Greater Milwaukee Open,2002-07-14,289.5732558139534
B.C. Open,2002-07-21,293.71951219512187
John Deere Classic,2002-07-28,282.7525641025642
Buick Open,2002-08-11,294.53414634146316
PGA Championship,2002-08-18,283.52816901408454
Reno-Tahoe Open,2002-08-25,301.39295774647877
World Golf Championships-NEC Invitational,2002-08-25,271.9571428571428
Air Canada Championship,2002-09-01,277.54415584415574
Bell Canadian Open,2002-09-08,302.84756097560967
SEI Pennsylvania Classic,2002-09-15,279.12179487179475
Tampa Bay Classic presented by Buick,2002-09-22,280.9358024691358
World Golf Championships-American Express Championship,2002-09-22,279.43593749999997
Valero Texas Open,2002-09-29,290.33611111111094
Invensys Classic at Las Vegas,2002-10-13,297.5285714285714
Disney Golf Classic,2002-10-20,268.53648648648647
Buick Challenge,2002-10-27,269.036231884058
THE TOUR Championship presented by Coca-Cola,2002-11-03,270.5066666666668
Southern Farm Bureau Classic,2002-11-03,265.696052631579
Mercedes Championships,2003-01-12,279.8416666666667
Sony Open in Hawaii,2003-01-19,286.45974025974016
Phoenix Open,2003-01-26,301.30277777777775
Bob Hope Chrysler Classic,2003-02-02,286.3138888888888
AT&T Pebble Beach National Pro-Am,2003-02-09,277.06818181818187
Buick Invitational,2003-02-16,281.07837837837826
Nissan Open,2003-02-23,290.55405405405384
Chrysler Classic of Tucson,2003-03-02,289.79999999999984
Ford Championship at Doral,2003-03-09,288.8823529411763
The Honda Classic,2003-03-16,274.71428571428555
Bay Hill Invitational presented by Cooper Tires,2003-03-23,271.4721518987342
THE PLAYERS Championship,2003-03-30,272.1070422535211
BellSouth Classic,2003-04-06,298.06447368421044
Masters Tournament,2003-04-13,278.55918367346925
MCI Heritage,2003-04-20,274.5936708860758
Shell Houston Open,2003-04-27,299.9499999999998
HP Classic of New Orleans,2003-05-04,288.9236842105262
Wachovia Championship,2003-05-11,294.18999999999994
EDS Byron Nelson Championship,2003-05-18,288.53625
Bank of America Colonial,2003-05-25,281.30657894736834
the Memorial Tournament,2003-06-01,269.5855072463768
FBR Capital Open,2003-06-08,272.52051282051264
U.S. Open Championship,2003-06-15,291.210294117647
Buick Classic,2003-06-22,264.6041666666665
FedEx St. Jude Classic,2003-06-29,288.31666666666644
100th Western Open presented by Golf Digest,2003-07-06,282.82428571428557
Greater Milwaukee Open,2003-07-13,277.37125
The Open Championship,2003-07-20,297.30547945205467
B.C. Open,2003-07-20,289.5394736842106
Greater Hartford Open,2003-07-27,285.47105263157886
Buick Open,2003-08-03,297.3799999999999
PGA Championship,2003-08-17,282.36857142857144
Reno-Tahoe Open,2003-08-24,304.77402597402585
World Golf Championships-NEC Invitational,2003-08-24,305.2588235294116
Deutsche Bank Championship,2003-09-01,291.9394366197183
Bell Canadian Open,2003-09-07,297.6111111111109
John Deere Classic,2003-09-14,281.7076923076922
84 Lumber Classic of Pennsylvania,2003-09-21,273.84912280701747
Valero Texas Open,2003-09-28,293.0777777777776
World Golf Championships-American Express Championship,2003-10-05,303.3555555555554
Southern Farm Bureau Classic,2003-10-05,291.7183098591548
Las Vegas Invitational,2003-10-12,296.58375
Chrysler Classic of Greensboro,2003-10-19,285.1179775280896
FUNAI Classic at the WALT DISNEY WORLD Resort,2003-10-26,286.6153846153846
Chrysler Championship,2003-11-02,283.7366197183098
THE TOUR Championship presented by Coca-Cola,2003-11-09,284.0193548387097
Mercedes Championships,2004-01-11,279.7300000000001
Sony Open in Hawaii,2004-01-18,283.9924050632911
Bob Hope Chrysler Classic,2004-01-25,281.6645569620253
FBR Open,2004-02-01,294.722857142857
AT&T Pebble Beach National Pro-Am,2004-02-08,262.89705882352933
Buick Invitational,2004-02-15,294.94390243902427
Nissan Open,2004-02-22,279.35128205128194
Chrysler Classic of Tucson,2004-02-29,293.3492957746479
Ford Championship at Doral,2004-03-07,283.24683544303787
The Honda Classic,2004-03-14,282.8835616438356
Bay Hill Invitational Presented by MasterCard,2004-03-21,286.0780821917807
THE PLAYERS Championship,2004-03-28,282.5397590361446
BellSouth Classic,2004-04-04,301.3887323943662
Masters Tournament,2004-04-11,283.76136363636357
MCI Heritage,2004-04-18,275.9708333333333
Shell Houston Open,2004-04-25,293.59154929577454
HP Classic of New Orleans,2004-05-02,277.74487179487164
Wachovia Championship,2004-05-09,293.4986111111109
EDS Byron Nelson Championship,2004-05-16,287.68125
FedEx St. Jude Classic,2004-05-30,299.6851351351351
the Memorial Tournament,2004-06-06,275.52666666666664
Buick Classic,2004-06-13,283.00243902439007
U.S. Open Championship,2004-06-20,296.4075757575756
Booz Allen Classic,2004-06-27,292.7775
Cialis Western Open,2004-07-04,293.9207317073168
John Deere Classic,2004-07-11,286.85466666666656
The Open Championship,2004-07-18,285.1095890410957
B.C. Open,2004-07-18,285.04102564102556
U.S. Bank Championship in Milwaukee,2004-07-25,296.1294117647058
Buick Open,2004-08-01,285.3014084507042
PGA Championship,2004-08-15,294.3958904109589
World Golf Championships-NEC Invitational,2004-08-22,279.9746666666666
Reno-Tahoe Open,2004-08-22,308.91830985915476
Buick Championship,2004-08-29,286.42405063291136
Deutsche Bank Championship,2004-09-06,296.47571428571405
Bell Canadian Open,2004-09-12,282.40769230769223
